Title,Author,Status,Format,Genres,Mood,Year,Rating
War and Peace,Leo Tolstoy,Owned,Audiobook,Classic Literature; Historical Fiction,Adventurous; Thought-provoking,1845,
Vanity Fair,William Makepeace Thackeray,Owned,Audiobook,Comedy; Classic Literature,Adventurous; Whimsical,1800,
The Four Horsemen,Richard Dawkins; Sam Harris; Daniel C. Dennett; Christopher Hitchens,Owned,Audiobook,Philosophy,Thought-provoking,1983,
Artemis Fowl Collection,Eoin Colfer,Owned,Audiobook,Fantasy; Comedy,Adventurous; Whimsical,2005,
Nevermoor,Jessica Townsend,Owned,Audiobook,Fantasy; Children's,Adventurous; Cozy; Whimsical,2017,
W. M. Thackeray: A BBC Radio Drama Collection,William Makepeace Thackeray,Owned,Audiobook,Poetry & Drama; Comedy,Adventurous; Whimsical,,
Mike and Psmith,P. G. Wodehouse,Owned,Audiobook,Comedy; Classic Literature,Adventurous; Whimsical,1935,
The Enchanted April,Elizabeth von Arnim,Owned,Audiobook,Classic Literature; Fiction,Cozy,1922,
The Light Between Oceans,M. L. Stedman,Owned,Audiobook,Poetry & Drama; Historical Fiction,Suspenseful; Bittersweet,2012,
Nanny McPhee and The Big Bang,Emma Thompson,Owned,Audiobook,Fantasy; Comedy,Cozy; Whimsical,2010,
The Aeneid,Virgil,Owned,Audiobook,Mythology; Poetry & Drama,Adventurous,1592,
The Odyssey,Homer,Owned,Audiobook,Mythology; Poetry & Drama,Adventurous,1488,
The Iliad,Homer,Owned,Audiobook,Mythology; Poetry & Drama,Adventurous,1505,
A Short History of Nearly Everything 2.0,Bill Bryson,Owned,Audiobook,Nonfiction,Adventurous; Thought-provoking,1200,
The Spear Cuts Through Water,Simon Jimenez,Owned,Audiobook,Fantasy; Classic Literature,Adventurous,2022,
East of Eden,John Steinbeck,Owned,Audiobook,Philosophy; Classic Literature,Thought-provoking; Bittersweet,1952,
BBC Radio Shakespeare: Eight Comedies,William Shakespeare,Owned,Audiobook,Poetry & Drama; Comedy,Whimsical,1975,
BBC Radio Shakespeare: Six Tragedies,William Shakespeare,Owned,Audiobook,Poetry & Drama,Dark & Moody; Thought-provoking,1603,
Brave New World,Aldous Huxley,Owned,Audiobook,Sci-Fi,Dark & Moody; Thought-provoking,1932,
The Count of Monte Cristo,Alexandre Dumas,Owned,Audiobook,Historical Fiction,Adventurous; Fast-paced,1830,
Persuasion,Jane Austen,Owned,Audiobook,Romance; Classic Literature,Cozy; Thought-provoking; Slow & Contemplative,1789,
Take Me To Your Leader,Neil deGrasse Tyson,Owned,Audiobook,Nonfiction,Adventurous; Thought-provoking; Whimsical,2007,
Shirley,Charlotte Brontë,Owned,Audiobook,Romance; Classic Literature,Suspenseful,1800,
Mansfield Park,Jane Austen,Owned,Audiobook,Romance; Comedy,,1814,
A Room of One's Own,Virginia Woolf,Owned,Audiobook,Nonfiction; Classic Literature,Thought-provoking,1929,
The Charles Dickens Collection,Charles Dickens,Owned,Audiobook,Classic Literature,Adventurous,1822,
84 Charing Cross Road,Helene Hanff,Owned,Audiobook,Nonfiction; Classic Literature,Cozy,1970,
The Alchemist,Paulo Coelho,Owned,Audiobook,Philosophy; Fiction,Thought-provoking; Slow & Contemplative; Uplifting,1988,
The Starless Sea,Erin Morgenstern,Owned,Audiobook,Fantasy; Classic Literature,Suspenseful,2019,
The Night Circus,Erin Morgenstern,Owned,Audiobook,Fantasy,Cozy; Suspenseful,2011,
Middlemarch,George Eliot,Owned,Audiobook,Classic Literature; Fiction,Slow & Contemplative,1800,
The Invisible Life of Addie LaRue,V. E. Schwab,Owned,Audiobook,Fantasy; Romance,Suspenseful; Bittersweet,2015,
To Kill a Mockingbird,Harper Lee,Owned,Audiobook,Classic Literature,Heartwarming; Thought-provoking,1960,
Poirot's Finest Cases,Agatha Christie,Owned,Audiobook,Mystery & Thriller; Poetry & Drama,Fast-paced; Whimsical,2013,
More of Poirot's Finest Cases,Agatha Christie,Owned,Audiobook,Mystery & Thriller; Poetry & Drama,Adventurous; Fast-paced; Whimsical,,
The Eye of the World,Robert Jordan,Owned,Audiobook,Fantasy,Adventurous; Thought-provoking,1990,
The Shepherd's Life,James Rebanks,Owned,Audiobook,Nonfiction,Thought-provoking; Slow & Contemplative,2015,
English Pastoral,James Rebanks,Owned,Audiobook,Nonfiction,Thought-provoking; Slow & Contemplative,2020,
The Body: A Guide for Occupants,Bill Bryson,Owned,Audiobook,Nonfiction,Thought-provoking; Whimsical,2019,
Love for Imperfect Things,Haemin Sunim,Owned,Audiobook,Philosophy; Self-Help,Cozy; Thought-provoking; Slow & Contemplative,2018,
All Things Bright and Beautiful,James Herriot,Owned,Audiobook,Comedy; Nonfiction,Cozy; Slow & Contemplative,1974,
Origins of The Wheel of Time,Michael Livingston,Owned,Audiobook,Fantasy; Mythology,Adventurous; Thought-provoking,2022,
Dune,Frank Herbert,Owned,Audiobook,Sci-Fi,Adventurous; Thought-provoking,1965,
The Life-Changing Magic of Tidying,Marie Kondo,Owned,Audiobook,Self-Help,Slow & Contemplative,2019,
The Little Book of Hygge,Meik Wiking,Owned,Audiobook,Self-Help,Cozy,2016,
Cold Comfort Farm,Stella Gibbons,Owned,Audiobook,Comedy; Classic Literature,Slow & Contemplative; Whimsical,1932,
Tools of Titans,Tim Ferriss,Owned,Audiobook,Self-Help,Uplifting,2016,
A Bit of Fry & Laurie,Stephen Fry; Hugh Laurie,Owned,Audiobook,Comedy,Whimsical,2014,
Don Quixote,Miguel de Cervantes,Owned,Audiobook,Comedy; Classic Literature,Adventurous; Whimsical,1600,
Mindful Zen Habits,Marc Reklau; Manuel Villa,Owned,Audiobook,Self-Help,Thought-provoking; Slow & Contemplative,2021,
The Midnight Gang,David Walliams,Owned,Audiobook,Comedy; Children's,Adventurous; Cozy,2016,
The Picture of Dorian Gray,Oscar Wilde,Owned,Audiobook,Gothic; Classic Literature,Dark & Moody; Suspenseful,1890,
How To Talk So People Will Listen,Lizzie Waterworth,Owned,Audiobook,Self-Help,Uplifting,2023,
A Bear Called Paddington,Michael Bond,Owned,Audiobook,Comedy; Children's,Cozy; Whimsical,1960,
The Enormous Crocodile,Roald Dahl; Quentin Blake,Owned,Audiobook,Children's; Fiction,Whimsical,1978,
The Christmas Pig,J. K. Rowling,Owned,Audiobook,Fantasy; Children's,Adventurous; Heartwarming,2021,
The Psychology of Money,Morgan Housel,Owned,Audiobook,Self-Help; Nonfiction,Thought-provoking,2020,
Slow Productivity,Cal Newport,Owned,Audiobook,Self-Help,Slow & Contemplative,2024,
The Things You Can See Only When You Slow Down,Haemin Sunim,Owned,Audiobook,Philosophy; Self-Help,Cozy; Slow & Contemplative,2017,
Make Epic Money,Ankur Warikoo,Owned,Audiobook,Self-Help,Uplifting,,
